region,polygon,area,contribution,name,eta_max,season
0,7,776525440293394.6,0.28931479062233856,Hawaii,0.8061258099424766,0.0
0,61,883576351895444.4,0.3291993977053667,Hawaii,0.8184075906378433,0.0
0,88,1023913907883142.1,0.3814858116722948,Hawaii,0.8043867549876952,0.0
1,32,1089708677468604.6,0.5605680424573136,Iceland,0.8609349652374523,0.0
1,77,141600467016946.84,0.07284212583414819,Iceland,0.8627170738461597,0.0
1,128,712627353734616.2,0.36658983170853815,Iceland,0.853847665217202,0.0
0,32,1120734972673024.2,0.48980994995215077,Kuroshio Current,0.8356072527353222,0.0
0,87,1167366714078149.5,0.5101900500478491,Kuroshio Current,0.8436469329501122,0.0
1,11,430121501343706.1,0.19484516802701016,West of Gibraltar,0.8422956840138198,0.0
1,34,1777382568164864.5,0.8051548319729899,West of Gibraltar,0.8362693502608298,0.0
