Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.1,7,2005_10,447938215145.5061,1.3070515221566483
0.1,12,2005_10,786591706725.4553,2.0687373552067494
0.1,4,2005_11,1117002845864.7625,0.7391063373001071
0.1,7,2005_11,367054835571.17633,0.9880619918974346
0.1,12,2005_11,683396792027.49,1.4827750731279736
0.1,4,2005_12,1023903094738.8563,0.7503447197134945
0.1,7,2005_12,282173443001.11475,1.240329081310056
0.1,12,2005_12,552756059827.6511,1.5295868606111223
0.1,4,2006_01,939213005228.7708,0.9369212630912775
0.1,7,2006_01,218761611840.28775,1.1527143759966425
0.1,12,2006_01,413412436637.4161,1.1969012875438394
0.1,4,2006_02,851070089182.4402,0.8599076537193999
0.1,7,2006_02,185730034778.5441,0.8636698937129661
0.1,12,2006_02,290297405753.33844,1.4339276382394768
0.1,4,2006_03,772872304025.3057,0.7911400585781043
0.1,7,2006_03,158911462498.97806,0.9602766565898383
0.1,12,2006_03,255490411087.99573,1.9117248754290637
0.1,4,2006_04,709077507688.0707,0.6676903281448402
0.1,7,2006_04,160533517510.29895,0.9465269901013936
0.1,12,2006_04,295549925382.124,1.8836435860167793
0.1,4,2006_05,648634641735.3228,0.6414526401396615
0.1,7,2006_05,170453319940.72803,0.9380299441899912
0.1,12,2006_05,373441976900.94165,2.437587973252173
0.1,4,2006_06,590742934567.4198,0.6998491804254856
0.1,7,2006_06,193262423954.67593,0.9539637660134145
0.1,12,2006_06,423084266405.71893,2.022743882024109
0.1,4,2006_07,536971897847.3426,0.7243229557590662
0.1,7,2006_07,213672105286.59738,1.3073865557905624
0.1,12,2006_07,465905807325.3256,2.4934583262859293
0.1,4,2006_08,490807995563.6758,0.6882950690229098
0.1,7,2006_08,234500765266.45383,1.7632798389113558
0.1,12,2006_08,494110650442.0191,1.187356079663092
0.1,4,2006_09,460957072501.65076,0.6168273528020922
0.1,7,2006_09,229130995172.08817,1.4267545317316848
