Resolution,Site,Year_Month,Total_surface_dic_masked,MeanTemp,MeanTemp_whole_mask_no_weighted
0.1,4,2004_01,7310504971864.821,27.770847484134947,11.698724365234398
0.1,7,2004_01,6587324208193.352,21.241688609859466,23.335229492187523
0.1,12,2004_01,29041123737382.617,-1.2639126181966844,3.3780456542968977
0.1,4,2004_02,10363097226798.951,27.956328610542585,11.430535888671898
0.1,7,2004_02,9418044605444.174,22.015003974811123,23.598016357421898
0.1,12,2004_02,27958268797536.508,-1.0698454299993045,3.8146911621093977
0.1,4,2004_03,8281719644043.871,27.894537133389406,11.387292480468773
0.1,7,2004_03,6323781731503.587,21.504267125861134,23.546289062500023
0.1,12,2004_03,16243735710186.068,-1.7695114382434554,3.4118286132812727
0.1,4,2004_04,7282283867494.785,27.98125626797912,11.659814453125023
0.1,7,2004_04,4802368059873.056,20.781255719505793,23.460565185546898
0.1,12,2004_04,10736282235166.25,-1.8437236375789325,2.6860595703125227
0.1,4,2004_05,7339046100342.534,27.779370948375743,12.251977539062523
0.1,7,2004_05,3436383743618.3477,19.58242205238929,23.018548583984398
0.1,12,2004_05,6934380934148.416,-1.852129895319706,1.9201293945312727
0.1,4,2004_06,5896013439017.133,27.641742705711295,13.425408935546898
0.1,7,2004_06,2484184057463.05,18.145580251347724,22.331231689453148
0.1,12,2004_06,4429853943762.87,-1.8588054691140883,1.4313598632812727
0.1,4,2004_07,4657908974449.064,27.64255444150581,14.777337646484398
0.1,7,2004_07,1879104675265.2031,17.017953954769837,21.840478515625023
0.1,12,2004_07,3074426641989.0957,-1.858083651958566,1.1082397460937727
0.1,4,2004_08,3894800403432.132,27.963013860732758,15.518548583984398
0.1,7,2004_08,1571176441813.2676,16.13877952273026,21.532464599609398
0.1,12,2004_08,1840321216509.1719,-1.8510280185498686,0.9089904785156477
0.1,4,2004_09,3477803380036.6333,28.283921619270814,14.904656982421898
0.1,7,2004_09,1290121969956.8875,15.768038239109728,21.589532470703148
0.1,12,2004_09,1476215809292.5051,-1.8404361693691271,0.8374267578125227
0.1,4,2004_10,3302200829656.741,28.25015075752384,13.912561035156273
0.1,7,2004_10,1088750351783.752,16.178103503594343,21.883416748046898
0.1,12,2004_10,1333834903568.6816,-1.8362438544303927,0.9427429199218977
0.1,4,2004_11,3171711334274.296,27.788849930057495,12.945489501953148
0.1,7,2004_11,949198526278.3503,16.7777825401771,22.392419433593773
0.1,12,2004_11,1234870770834.1704,-1.7149411647031343,1.3106933593750227
0.1,4,2004_12,2939662427663.309,27.340318697164435,12.228723144531273
0.1,7,2004_12,765080454319.9498,18.31327195428247,22.859918212890648
0.1,12,2004_12,1028193054050.4425,-1.067516982426639,2.3387084960937727
0.1,4,2005_01,2610751789065.288,26.936829042519093,11.759881591796898
0.1,7,2005_01,608170725175.9114,19.287068740525626,23.259301757812523
0.1,12,2005_01,927337938617.5116,-0.8626024382838864,3.6229797363281477
0.1,4,2005_02,2280882620662.549,26.691967430473994,11.558740234375023
0.1,7,2005_02,518124837281.68604,19.65870362132847,23.580499267578148
0.1,12,2005_02,796554448628.8488,-0.8555123376007145,3.9257751464843977
0.1,4,2005_03,2032880365076.0042,26.814433366289904,11.563165283203148
0.1,7,2005_03,475543558339.0243,19.690062498386794,23.689996337890648
0.1,12,2005_03,716230585055.4502,-1.3168877122981257,3.3850341796875227
0.1,4,2005_04,1810650243893.6377,27.02238498340688,11.828454589843773
0.1,7,2005_04,470551665420.1885,18.77806135137064,23.448480224609398
0.1,12,2005_04,749639125833.7028,-1.635707228322758,2.5670410156250227
0.1,4,2005_05,1642993293533.5798,27.412435168506818,12.437066650390648
0.1,7,2005_05,487473032873.76514,17.81206137843492,23.082818603515648
0.1,12,2005_05,780110429119.2981,-1.7859598689327072,1.9257446289062727
0.1,4,2005_06,1497001254464.6313,27.67807345914872,13.564324951171898
0.1,7,2005_06,543786989440.9734,16.676605596296667,22.469445800781273
0.1,12,2005_06,797663012187.3823,-1.8237590296122903,1.4797302246093977
0.1,4,2005_07,1386358763398.055,27.818077419389397,14.866662597656273
0.1,7,2005_07,586584569374.9062,15.673207481165548,21.928216552734398
0.1,12,2005_07,813547403749.8152,-1.8432276164118662,1.1161743164062727
0.1,4,2005_08,1293259431395.9446,27.956507670672124,15.501702880859398
0.1,7,2005_08,556375702711.2963,15.28617273311545,21.608392333984398
0.1,12,2005_08,849209727967.2178,-1.8423912395527964,0.8977294921875227
0.1,4,2005_09,1231787080065.83,27.9357361633285,14.954339599609398
0.1,7,2005_09,510833733463.8796,15.074799247698877,21.597863769531273
0.1,12,2005_09,829828602464.0509,-1.8404938891014808,0.8255249023437727
0.1,4,2005_10,1184175482773.837,27.66576306695123,13.876733398437523
0.1,7,2005_10,447938215145.5061,15.193610152091082,21.913293457031273
0.1,12,2005_10,786591706725.4553,-1.751613430376267,0.9318786621093977
0.1,4,2005_11,1117002845864.7625,27.05576352485582,12.921655273437523
0.1,7,2005_11,367054835571.17633,16.071439189645446,22.323693847656273
0.1,12,2005_11,683396792027.49,-1.356155987559191,1.3553710937500227
0.1,4,2005_12,1023903094738.8563,26.535579553762318,12.219628906250023
0.1,7,2005_12,282173443001.11475,17.189481303473485,22.873834228515648
0.1,12,2005_12,552756059827.6511,-0.6604122902025438,2.3702331542968977
0.1,4,2006_01,939213005228.7708,26.094845025161817,11.760278320312523
0.1,7,2006_01,218761611840.28775,18.653873343142493,23.191461181640648
0.1,12,2006_01,413412436637.4161,0.4739093048208929,3.7628723144531477
0.1,4,2006_02,851070089182.4402,25.88782710421941,11.523065185546898
0.1,7,2006_02,185730034778.5441,19.11173497718636,23.505700683593773
0.1,12,2006_02,290297405753.33844,1.1325788716768557,4.062219238281273
0.1,4,2006_03,772872304025.3057,26.0499148574811,11.482812500000023
0.1,7,2006_03,158911462498.97806,19.390872031472043,23.542169189453148
0.1,12,2006_03,255490411087.99573,0.3374852580250831,3.5876098632812727
0.1,4,2006_04,709077507688.0707,26.477032425928883,11.822442626953148
0.1,7,2006_04,160533517510.29895,18.34769755177524,23.358148193359398
0.1,12,2006_04,295549925382.124,-0.8536500682840256,2.7416015625000227
0.1,4,2006_05,648634641735.3228,26.80034416745235,12.570886230468773
0.1,7,2006_05,170453319940.72803,17.355046963456516,23.030450439453148
0.1,12,2006_05,373441976900.94165,-1.3798809884245884,2.0368286132812727
0.1,4,2006_06,590742934567.4198,27.128338859345774,13.665155029296898
0.1,7,2006_06,193262423954.67593,16.491612038801293,22.467889404296898
0.1,12,2006_06,423084266405.71893,-1.6502861625962737,1.4962402343750227
0.1,4,2006_07,536971897847.3426,27.192970387060825,14.969903564453148
0.1,7,2006_07,213672105286.59738,15.716889086045398,21.882592773437523
0.1,12,2006_07,465905807325.3256,-1.7728245797828777,1.1474243164062727
0.1,4,2006_08,490807995563.6758,27.22259873358462,15.628076171875023
0.1,7,2006_08,234500765266.45383,15.098945551306542,21.567407226562523
0.1,12,2006_08,494110650442.0191,-1.8210064612835595,0.9169555664062727
0.1,4,2006_09,460957072501.65076,27.221640174766378,15.098016357421898
0.1,7,2006_09,229130995172.08817,14.919606247383967,21.600671386718773
0.1,12,2006_09,485177184256.7258,-1.8270976638841603,0.8283935546875227
0.1,4,2006_10,438507039426.4831,26.994762717043216,14.056695556640648
0.1,7,2006_10,201790982136.69284,15.257189919787493,21.778314208984398
0.1,12,2006_10,455866373236.44556,-1.782354329534428,0.9298645019531477
0.1,4,2006_11,424450865493.40137,26.494504136966043,13.028741455078148
0.1,7,2006_11,165906852413.484,16.635205597647598,22.368096923828148
0.1,12,2006_11,408571404249.50745,-1.3808048176017564,1.3143859863281477
0.1,4,2006_12,413269870703.97003,25.854558555607525,12.263970947265648
0.1,7,2006_12,131419422769.11755,17.939037204764986,22.899438476562523
0.1,12,2006_12,323102918168.2883,-0.3882967307691274,2.3605285644531477
0.1,4,2007_01,395919427476.37177,25.51553834083876,11.799951171875023
0.1,7,2007_01,104383740997.65161,19.068190409317708,23.346002197265648
0.1,12,2007_01,237255280783.23563,0.42874066277732936,3.4333435058593977
0.1,4,2007_02,371202808004.3171,25.458867778370006,11.558740234375023
0.1,7,2007_02,91433617063.61125,19.56085368716407,23.676995849609398
0.1,12,2007_02,182403506443.34818,0.7367289755965203,3.8085571289062727
0.1,4,2007_03,345377479264.04144,25.561807677523518,11.529290771484398
0.1,7,2007_03,86732514183.66754,18.986914639537815,23.633843994140648
0.1,12,2007_03,180310216594.88538,-0.42432205150464597,3.3688903808593977
0.1,4,2007_04,323078658224.3544,25.877366282385935,11.801507568359398
0.1,7,2007_04,88965392662.27496,18.09246727381742,23.426721191406273
0.1,12,2007_04,189152754873.52963,-1.0252228329925401,2.6649719238281477
0.1,4,2007_05,293941230439.3267,26.2309137568609,12.399133300781273
0.1,7,2007_05,97611294844.9327,17.034403301254656,23.058038330078148
0.1,12,2007_05,206043924503.1303,-1.4971886816269375,1.9667907714843977
0.1,4,2007_06,259060994950.34848,26.338263760138204,13.443261718750023
0.1,7,2007_06,107799969934.41914,16.271102090199065,22.551141357421898
0.1,12,2007_06,219130162357.95834,-1.6972226296368262,1.4750305175781477
0.1,4,2007_07,227614674128.7429,26.548675241621936,14.705590820312523
0.1,7,2007_07,128128655263.35312,15.222080085766777,21.984063720703148
0.1,12,2007_07,231638024984.36615,-1.766543766179666,1.1402832031250227
0.1,4,2007_08,204427615497.26636,26.580324596375988,15.227716064453148
0.1,7,2007_08,144222517321.0719,14.848642588221765,21.673577880859398
0.1,12,2007_08,233808712726.64124,-1.7887666972271745,0.9193969726562727
0.1,4,2007_09,190158407073.6186,26.61861046305563,14.773156738281273
0.1,7,2007_09,143863014693.99194,14.72669705389211,21.657800292968773
0.1,12,2007_09,225222254965.98392,-1.7963808483735306,0.8330017089843977
0.1,4,2007_10,181972063846.8368,26.314500022651885,13.849603271484398
0.1,7,2007_10,124998988810.51915,15.225217655759309,21.878137207031273
0.1,12,2007_10,217847626728.4841,-1.715813039667239,0.9636474609375227
0.1,4,2007_11,182115087197.59103,25.61381542700866,12.907281494140648
0.1,7,2007_11,99653036218.39748,16.470020624343647,22.335656738281273
0.1,12,2007_11,203294426838.5373,-1.5473497356668986,1.2976623535156477
0.1,4,2007_12,180948484906.2425,24.853890819553385,12.119500732421898
0.1,7,2007_12,79714090563.66087,17.693551940725854,22.871575927734398
